business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
7Q07VkvcRKbxKW_NSpCXpw,Old City T Shirts and Souvenirs,233 Church St,Philadelphia,PA,19106,39.9507999,-75.1451549,5.0,74,0,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'DogsAllowed': 'True'}","Children's Clothing, Local Flavor, Screen Printing/T-Shirt Printing, Women's Clothing, Flowers & Gifts, Printing Services, Fashion, Gift Shops, Local Services, Men's Clothing, Souvenir Shops, Shopping, Discount Store","{'Thursday': '11:0-16:0', 'Friday': '11:0-16:0', 'Saturday': '11:0-16:0'}"
4xu5AxIquZThauX74w5hSA,Tullycross Fine Irish Handcrafts,110 South St,Philadelphia,PA,19147,39.9409003,-75.1444366,5.0,11,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Arts & Crafts, Religious Items, Souvenir Shops, Shopping, Jewelry, Flowers & Gifts","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-18:0', 'Sunday': '10:0-18:0'}"
kqIENT-CoSkcDGtrZk35Rw,Arterial Agents,700 Sansom St,Philadelphia,PA,19106,39.9484629,-75.15268,5.0,10,0,"{'BusinessAcceptsBitcoin': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'"", 'DogsAllowed': 'True', 'WheelchairAccessible': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Grocery, Souvenir Shops, Food, Fashion, Specialty Food, Books, Mags, Music & Video, Shopping, Newspapers & Magazines, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '8:0-15:0'}"
lKlRRS26_eTA_eCjrWBT4w,Shibe Vintage Sports,137 S 13th St,Philadelphia,PA,19107,39.9494082,-75.1618172,4.5,23,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'DogsAllowed': 'True'}","Sporting Goods, Fashion, Souvenir Shops, Sports Wear, Shopping","{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-18:0'}"
v-Ei13KTC1CMV7-yMGHAug,Philly Souvenir,64 N 3rd St Philadelphia,Philadelphia,PA,19106,39.95188,-75.1454079,4.5,9,1,"{'RestaurantsTakeOut': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Caters': 'False', 'WheelchairAccessible': 'False', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': False}""}","Specialty Food, Souvenir Shops, Food, Gift Shops, Shopping, Candy Stores, Flowers & Gifts","{'Monday': '0:0-0:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '10:0-15:30'}"
CVrU9WrUHs2SShb6RRMwVA,Xenos Candy 'N' Gifts,231 Chestnut St,Philadelphia,PA,19106,39.9486947,-75.1452689,4.0,95,1,"{'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsTakeOut': 'False', 'BusinessAcceptsBitcoin': 'False', 'Caters': 'False'}","Specialty Food, Food, Candy Stores, Gift Shops, Shopping, Souvenir Shops, Flowers & Gifts","{'Monday': '9:30-18:30', 'Tuesday': '9:30-18:30', 'Wednesday': '9:30-18:30', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '10:0-20:0', 'Sunday': '10:30-18:30'}"
Uz_jqUTcRvyJ43semUZulg,The Masonic Library and Museum of Pennsylvania,1 N Broad St,Philadelphia,PA,19107,39.9536351,-75.1627465,4.0,23,1,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'False'}","Museums, Arts & Entertainment, Souvenir Shops, Shopping","{'Tuesday': '9:30-17:0', 'Wednesday': '9:30-17:0', 'Thursday': '9:30-17:0', 'Friday': '9:30-17:0', 'Saturday': '9:30-17:0'}"
QeisXJPPNqtv_cAA9ehtVg,Humphrys Flag Company,238 Arch St,Philadelphia,PA,19106,39.9519567,-75.144619,3.5,12,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False'}","Professional Services, Shopping, Hobby Shops, Souvenir Shops, Antiques, Signmaking, Local Flavor","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
XgLrkmIqIrD_pl67lAovEQ,The Bourse,111 S Independence Mall E,Philadelphia,PA,19106,39.9498192516,-75.1486551501,2.0,35,0,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Caters': 'False', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'NoiseLevel': ""'average'"", 'WiFi': ""u'free'"", 'HasTV': 'True', 'DogsAllowed': 'False', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True'}","Food Court, Shopping, Shopping Centers, IT Services & Computer Repair, Local Services, Souvenir Shops, Restaurants","{'Monday': '7:0-20:0', 'Tuesday': '9:0-18:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-0:0', 'Saturday': '7:0-0:0', 'Sunday': '9:0-18:0'}"
